State,All_countries,Latinamerica,Caribean,Central_america,Southamerica,Argentina,Bolivia,Belize,Brazil,Chile,Colombia,Costa_Rica,Cuba,Dominican_Republic,Ecuador,El_Salvador,Guatemala,Haiti,Honduras,Jamaica,Mexico,Nicaragua,Panama,Peru,Trinidad_Tobago,Uruguay,Venezuela
Alabama,168100,82919.02622,6761.941145,69257.84578,6898.948174,288.9377486,90.0022557,52.04511976,1176.138369,471.1961324,1474.908391,306.9716096,1266.963741,300.9886784,494.0033952,2374.087373,11611.33228,1408.897301,3343.951638,1958.064322,49403.17776,705.1005292,1412.635957,1029.109189,545.0354687,124.0755923,1182.172237
Alaska,57400,10147.00321,2355.979494,5543.987655,2246.98312,158.9657509,44.00110278,65.0563997,148.0174138,99.04122528,672.9582014,96.99102973,231.9933606,1432.9461,126.000866,622.0228921,193.0055232,202.9852038,195.9971654,134.004402,4157.014958,162.0231003,52.02342051,554.0587861,55.00357941,44.02682306,127.018506
Arizona,933200,578572.183,14129.87702,544005.7887,20434.84649,2271.510605,595.0149127,356.3088968,2387.280857,1594.663769,4881.696789,1324.877468,6989.799958,1695.936208,1644.011299,8621.317287,13682.39155,1119.918366,3771.945448,1931.063435,513584.848,1488.212181,1107.498587,3723.395055,1338.087077,367.2237287,1894.275987
Arkansas,142500,87852.02778,1754.984725,81610.81828,4485.966301,288.9377486,707.0177197,90.07809189,646.0760089,317.1320042,946.9411838,266.9753086,600.9828004,272.9897316,426.0029279,13514.49737,4741.135676,104.9923468,2588.962557,271.0089026,59287.21333,642.0915457,444.1999751,619.0656834,236.0153589,11.00670577,314.045755
California,10537500,5352177.693,71256.3798,5018752.825,262153.0307,33197.84755,9322.23364,16704.48171,41289.85763,16000.66017,44341.24589,12421.85116,34105.02394,6179.76755,21751.14949,437032.0839,276549.914,4879.644308,60440.12589,14146.46471,4140366.898,63956.1185,9630.335496,74447.89898,5965.388203,3252.981859,10328.50482
Colorado,543000,281793.0891,7744.932589,252821.437,21225.84055,2215.522667,562.0140856,296.2568356,2506.294858,1465.610051,4309.732315,694.9357285,2459.929599,1020.961597,1020.00701,9765.359391,6383.182667,1050.923395,4774.930943,1899.062384,228598.8226,1179.168119,1032.464807,5884.624363,472.0307178,93.0566942,2416.352051
Connecticut,513600,223734.0708,84023.26868,59975.86645,79733.40103,3030.347114,295.0073937,371.3219121,16885.98659,2093.871561,15176.05739,1467.864244,3212.908049,21820.17924,19692.13534,6674.24563,15455.44229,14315.95647,6998.898779,36198.1891,26909.09683,1393.198634,646.2909547,13576.44047,2368.15411,1171.713859,2760.402178
Delaware,87400,36967.01169,9591.916514,22656.94955,4717.964558,325.9297787,8.000200506,28.02429526,542.0637722,193.0803685,1212.924663,97.99093725,601.9827718,1995.924924,424.0029141,1273.046851,4652.133129,3047.777839,416.9939692,2198.072206,15683.05643,118.0168262,388.174753,422.0447793,917.0596785,48.02926152,328.047795
District of Columbia,96200,40072.01267,7363.935906,22850.94912,9856.925953,1035.776843,384.0096243,190.1648607,1541.181315,649.2702546,2088.870257,240.977713,706.9797669,1900.928497,354.002433,12238.45041,3303.094524,447.9673463,1669.975848,2360.077528,4166.01499,557.0794252,349.1571876,1728.183362,1131.073606,212.1292384,752.1095789
Florida,4227200,3181596.006,1741468.843,644758.5643,795345.0252,55732.99237,10651.26695,4810.170107,88408.40099,21724.04249,262287.7088,16694.456,970930.2128,125351.285,52003.35741,45731.68304,80753.31091,325620.2646,101322.5346,215629.0834,268587.9664,105091.9834,21197.54296,91632.7223,43923.85839,12356.52814,160240.3463
